model,n_parameters,hostname,runtime_engine,floatx,batch_size,device,runs_per_second_mean,runs_per_second_std,n_runs,abs_err_to_pytorch_mean,abs_err_to_pytorch_std
mobilenetv2_large_additional_dense_pretrained,2888263,jetson-X-01,pytorch_1.4.0,32,10,cpu,0.04361228773140018,0.0013765688554347713,100,-1,-1
beyer_mod_relu_depth_126_48,787087,jetson-X-01,pytorch_1.4.0,32,10,gpu,221.0950739374085,7.382664015637846,100,-1,-1
beyer_mod_relu_depth_126_48,787087,jetson-X-01,tensorrt_6.0.1.10,32,10,gpu,391.67368951431826,4.322616343585631,100,7.990748e-09,3.7886747e-09
beyer_mod_relu_depth_126_48,787087,jetson-X-01,tensorrt_6.0.1.10,16,10,gpu,626.4323071480584,15.242753007625046,100,1.5010285e-05,4.119509e-06
mobilenetv2_small_additional_dense_pretrained,899695,jetson-X-01,pytorch_1.4.0,32,10,gpu,52.02184902155045,3.583783029963894,100,-1,-1
mobilenetv2_small_additional_dense_pretrained,899695,jetson-X-01,tensorrt_6.0.1.10,32,10,gpu,211.58766396845112,8.04615903117849,100,3.797507e-06,1.1445854e-06
mobilenetv2_small_additional_dense_pretrained,899695,jetson-X-01,tensorrt_6.0.1.10,16,10,gpu,280.83231726627736,12.62765388359762,100,0.021787545,0.0056441138
mobilenetv2_large_additional_dense_pretrained,2888263,jetson-X-01,pytorch_1.4.0,32,10,gpu,39.72025059131429,0.29995662900206954,100,-1,-1
mobilenetv2_large_additional_dense_pretrained,2888263,jetson-X-01,tensorrt_6.0.1.10,32,10,gpu,75.06296363994025,0.4359064286694861,100,6.3614316e-06,1.3415845e-06
mobilenetv2_large_additional_dense_pretrained,2888263,jetson-X-01,tensorrt_6.0.1.10,16,10,gpu,152.35879774437365,1.6522070514262392,100,0.017530954,0.0039565326
efficientnet_b0_additional_dense_pretrained,4670851,jetson-X-01,pytorch_1.4.0,32,10,gpu,25.575687244239543,0.09905376255954887,100,-1,-1
efficientnet_b0_additional_dense_pretrained,4670851,jetson-X-01,tensorrt_6.0.1.10,32,10,gpu,29.951869867857077,0.07927611023077086,100,2.1930077e-06,7.285353e-07
efficientnet_b0_additional_dense_pretrained,4670851,jetson-X-01,tensorrt_6.0.1.10,16,10,gpu,41.607957966020074,0.2852715623924504,100,0.0073365616,0.0026093652
efficientnet_b1_additional_dense_pretrained,7176487,jetson-X-01,pytorch_1.4.0,32,10,gpu,18.013582714045093,0.044011612770754445,100,-1,-1
efficientnet_b1_additional_dense_pretrained,7176487,jetson-X-01,tensorrt_6.0.1.10,32,10,gpu,21.078578873889,0.03999185262689727,100,3.335925e-06,1.132451e-06
efficientnet_b1_additional_dense_pretrained,7176487,jetson-X-01,tensorrt_6.0.1.10,16,10,gpu,29.63219868964325,0.07601252760070588,100,0.01008539,0.002494867
resnet18_additional_dense_pretrained,11442759,jetson-X-01,pytorch_1.4.0,32,10,gpu,31.33887624196963,0.2237723358046294,100,-1,-1
resnet18_additional_dense_pretrained,11442759,jetson-X-01,tensorrt_6.0.1.10,32,10,gpu,43.03800032403344,0.09752961368819582,100,1.1646426e-06,3.4762363e-07
resnet18_additional_dense_pretrained,11442759,jetson-X-01,tensorrt_6.0.1.10,16,10,gpu,147.37740494595315,1.3248953123987222,100,0.0035234527,0.001100511
resnet34_additional_dense_pretrained,21550919,jetson-X-01,pytorch_1.4.0,32,10,gpu,17.749234782332948,0.034667392471017265,100,-1,-1
resnet34_additional_dense_pretrained,21550919,jetson-X-01,tensorrt_6.0.1.10,32,10,gpu,23.266864481994133,0.03662242048664379,100,1.6130223e-06,5.3225125e-07
resnet34_additional_dense_pretrained,21550919,jetson-X-01,tensorrt_6.0.1.10,16,10,gpu,90.3081842486257,0.5665337470797044,100,0.005635051,0.001756041
resnet50_additional_dense_pretrained,24568391,jetson-X-01,pytorch_1.4.0,32,10,gpu,11.697841838896855,0.015610125601716665,100,-1,-1
resnet50_additional_dense_pretrained,24568391,jetson-X-01,tensorrt_6.0.1.10,32,10,gpu,16.9321549539264,0.02239727547400058,100,7.502454e-07,2.3981863e-07
resnet50_additional_dense_pretrained,24568391,jetson-X-01,tensorrt_6.0.1.10,16,10,gpu,64.4956592059331,0.34516827200338446,100,0.0024290963,0.0007686149
resnext50_additional_dense_pretrained,24040263,jetson-X-01,pytorch_1.4.0,32,10,gpu,9.156925958390183,0.008251625483582336,100,-1,-1
resnext50_additional_dense_pretrained,24040263,jetson-X-01,tensorrt_6.0.1.10,32,10,gpu,11.872540093120223,0.014416738437876568,100,9.776372e-07,3.0225118e-07
resnext50_additional_dense_pretrained,24040263,jetson-X-01,tensorrt_6.0.1.10,16,10,gpu,37.49393284430852,0.18144428366046234,100,0.003671686,0.0011103274
beyer_mod_relu_depth_126_48,787087,jetson-X-01,pytorch_1.4.0,32,20,gpu,126.3954899245662,1.0240770719823165,100,-1,-1
beyer_mod_relu_depth_126_48,787087,jetson-X-01,tensorrt_6.0.1.10,32,20,gpu,214.2091925056056,1.1614614183289624,100,6.328744e-09,2.8330103e-09
beyer_mod_relu_depth_126_48,787087,jetson-X-01,tensorrt_6.0.1.10,16,20,gpu,371.57136456634345,11.47667716999053,100,7.325875e-06,2.1368432e-06
mobilenetv2_small_additional_dense_pretrained,899695,jetson-X-01,pytorch_1.4.0,32,20,gpu,64.46433739382175,2.2621587754022996,100,-1,-1
mobilenetv2_small_additional_dense_pretrained,899695,jetson-X-01,tensorrt_6.0.1.10,32,20,gpu,122.07775856752478,2.4557108855018277,100,2.9255916e-06,9.357158e-07
